date,city,year,dow,month,idx,yday,death,strata,temp_pred,tmaxF,death_updated,death_expected_value,death_pred
1980-01-06,BOSTON,1980,1,1,6,6,971,BOSTON:1980:1:1,30.2904721533541,0,1152,1107.20553843303,1056.24583939121
1980-01-07,BOSTON,1980,2,1,7,7,1010,BOSTON:1980:1:2,30.2362802344436,32.2036643977338,1023,1010.82204861336,947.823319708905
1980-01-08,BOSTON,1980,3,1,8,8,1074,BOSTON:1980:1:3,30.1879367241965,57.6572698317797,926,905.601415853755,936.696887044038
1980-01-09,BOSTON,1980,4,1,9,9,1094,BOSTON:1980:1:4,30.1454566509934,33.745907663601,946,972.940851141544,1088.52795666808
1980-01-10,BOSTON,1980,5,1,10,10,1098,BOSTON:1980:1:5,30.1088533089081,27.0718847801493,972,999.606183350933,1064.74652721789
1980-01-11,BOSTON,1980,6,1,11,11,1103,BOSTON:1980:1:6,30.0781382536794,62.0564724281709,1253,1189.39846306624,1026.79996762675
1980-01-12,BOSTON,1980,7,1,12,12,1024,BOSTON:1980:1:7,30.0533212991964,26.7867122325648,1031,1004.82288954802,967.326778323537
1980-01-13,BOSTON,1980,1,1,13,13,1010,BOSTON:1980:1:1,30.0344105144995,42.4643549962002,1044,992.957082762478,1059.87377416626
1980-01-14,BOSTON,1980,2,1,14,14,1014,BOSTON:1980:1:2,30.0214122212973,35.1057503582459,969,967.667391399092,946.549607022158
1980-01-15,BOSTON,1980,3,1,15,15,1026,BOSTON:1980:1:3,30.0143309920005,2.21905877859366,898,924.38873555672,905.159493335915
1980-01-16,BOSTON,1980,4,1,16,16,1118,BOSTON:1980:1:4,30.0131696482739,58.0009175764015,1307,1272.68519445349,1087.96403870444
1980-01-17,BOSTON,1980,5,1,17,17,1085,BOSTON:1980:1:5,30.0179292601053,12.2440706649315,1160,1091.84807473195,1066.50756971125
1980-01-18,BOSTON,1980,6,1,18,18,1045,BOSTON:1980:1:6,30.0286091453939,0,840,829.573663876953,1009.9363232825
1980-01-19,BOSTON,1980,7,1,19,19,1018,BOSTON:1980:1:7,30.0452068700562,17.9996572198453,1057,1058.8973511231,976.591366358583
1980-01-20,BOSTON,1980,1,1,20,20,1028,BOSTON:1980:1:1,30.0677182486511,61.882973688957,1025,952.55728913939,1102.72975172517
1980-01-21,BOSTON,1980,2,1,21,21,1034,BOSTON:1980:1:2,30.0961373455228,57.363889469985,888,895.679813826249,994.780536858727
1980-01-22,BOSTON,1980,3,1,22,22,1063,BOSTON:1980:1:3,30.1304564764618,43.6266949074238,1005,1000.14333685766,944.711491919469
1980-01-23,BOSTON,1980,4,1,23,23,1102,BOSTON:1980:1:4,30.170666210884,40.0061431746648,935,948.84742980611,1080.27493806017
1980-01-24,BOSTON,1980,5,1,24,24,1136,BOSTON:1980:1:5,30.2167553745254,64.8156397381842,1029,1002.65242093367,1075.5596822166
1980-01-25,BOSTON,1980,6,1,25,25,1084,BOSTON:1980:1:6,30.2687110526546,41.1681169907622,956,960.709511664215,1012.26370909077
