"","lag0","lag1","lag2","lag3","lag4","lag5"
"7",1.00980099956607,1.02013208167164,1.03056251055719,1.04031941003964,1.04877784897889,1.05560092286076
"8",1.00946526292368,1.01934770504805,1.02926739972924,1.03854505565358,1.04663229676391,1.05323380452633
"9",1.00912992595871,1.01856494862993,1.02797592280436,1.03677665320029,1.04449464202369,1.05087560652126
"10",1.00879527630383,1.017784825932,1.02669007400883,1.03501710322651,1.04236835532246,1.04852989683223
"11",1.00846160121068,1.01700834736846,1.0254118375996,1.03326928658574,1.04025687892783,1.04620021151254
"12",1.00812918755223,1.0162365202842,1.02414318799297,1.03153606472693,1.03816362724733,1.04389005516826
"13",1.00779832182598,1.01547034899611,1.02288608993134,1.02982028006283,1.03609198737752,1.04160290156264
"14",1.00746929015796,1.01471083484423,1.02164249868782,1.028124756417,1.03404531976448,1.03934219433687
"15",1.00714237830755,1.01395897625292,1.02041436030837,1.02645229954869,1.03202695897374,1.03711134784537
"16",1.00681787167307,1.01321576880173,1.01920361189115,1.02480569775471,1.0300402145686,1.03491374810408
"17",1.00649605529826,1.01248220530621,1.01801218190278,1.0231877225474,1.02808837209513,1.03275275384999
"18",1.0061772138795,1.01175927590837,1.01684199053128,1.02160112940804,1.02617469417274,1.03063169771047
"19",1.00586163177387,1.01104796817694,1.01569495007535,1.02004865861496,1.02430242168914,1.02855388748106
"20",1.00554959300798,1.01034926721722,1.01457296536991,1.01853303614567,1.02247477509846,1.02652260751035
"21",1.00524138128766,1.0096641557906,1.01347793424744,1.01705697465251,1.02069495582162,1.02454112019076
"22",1.00493728000839,1.00899361444368,1.01241174803526,1.01562317451117,1.01896614774822,1.02261266755431
"23",1.00463757226657,1.00833862164699,1.01137629208822,1.0142343249419,1.01729151883898,1.02074047297241
"24",1.00434254087159,1.00770015394316,1.01037344635697,1.01289310520276,1.01567422282839,1.01892774295893
"25",1.00405246835867,1.00707918610467,1.00940508599153,1.01160218585491,1.01411740102693,1.01717766907605
"26",1.0037676370025,1.00647669130115,1.00847308198016,1.01036423009962,1.01262418422284,1.01549342994243
"27",1.00348832883172,1.00589364127601,1.0075793018234,1.00918189518708,1.01119769468301,1.01387819334348
"28",1.00321482564415,1.00533100653269,1.00672561024343,1.00805783389687,1.0098410482534,1.01233511844379
"29",1.00294740902281,1.00478975653032,1.0059138699286,1.00699469609041,1.00855735655903,1.01086735810178
"30",1.00268636035279,1.00427085988883,1.00514594231332,1.00599513033564,1.00734972930404,1.009478061287
"31",1.0024319608388,1.00377528460356,1.00442368839334,1.00506178560419,1.00622127667257,1.00817037560077
"32",1.00218449152368,1.00330399826938,1.00374896957672,1.00419731304173,1.0051751118312,1.00694744990081
"33",1.00194423330755,1.00285796831422,1.00312364857044,1.00340436781208,1.00421435353423,1.00581243703113
"34",1.0017114669678,1.00243816224225,1.00254959030313,1.00268561101588,1.00334212883287,1.00476849665834
"35",1.00148647317993,1.00204554788652,1.00202866288407,1.00204371168472,1.00256157589025,1.00381879821608
"36",1.00126953253909,1.00168109367127,1.00156273859889,1.00148134885199,1.00187584690379,1.00296652395934
